Year,Site,Habitat,Taxonomy_Substrate_Functional_Group,mean_percent_cover
2014,LTER 2,Backreef,Coral,5.52
2014,LTER 2,Fringing,Algal Turf,76.4
2014,LTER 2,Fringing,Coral,3.36
2014,LTER 2,Outer 10,Algal Turf,58.72
2014,LTER 2,Outer 10,Coral,18.48
2014,LTER 2,Outer 17,Algal Turf,67.68
2014,LTER 2,Outer 17,Coral,8.24
2014,LTER 3,Backreef,Algal Turf,40.4
2014,LTER 3,Backreef,Coral,14
2014,LTER 3,Fringing,Algal Turf,57.2
2014,LTER 3,Fringing,Coral,28.08
2014,LTER 3,Outer 10,Algal Turf,47.68
2014,LTER 3,Outer 10,Coral,5.92
2014,LTER 3,Outer 17,Algal Turf,46
2014,LTER 3,Outer 17,Coral,2.96
2014,LTER 4,Backreef,Algal Turf,51.44
2014,LTER 4,Backreef,Coral,28
2014,LTER 4,Fringing,Algal Turf,25.76
2014,LTER 4,Fringing,Coral,10.8
2014,LTER 4,Outer 10,Algal Turf,59.92
2014,LTER 4,Outer 10,Coral,10.16
2014,LTER 4,Outer 17,Algal Turf,50.48
2014,LTER 4,Outer 17,Coral,8.64
2014,LTER 5,Backreef,Algal Turf,27.76
2014,LTER 5,Backreef,Coral,23.04
2014,LTER 5,Fringing,Algal Turf,16.56
2014,LTER 5,Fringing,Coral,62.48
2014,LTER 5,Outer 10,Algal Turf,55.2
2014,LTER 5,Outer 10,Coral,13.6
2014,LTER 5,Outer 17,Algal Turf,46.72
2014,LTER 5,Outer 17,Coral,10.32
2014,LTER 6,Backreef,Algal Turf,30.72
2014,LTER 6,Backreef,Coral,22.4
2014,LTER 6,Fringing,Algal Turf,39.52
2014,LTER 6,Fringing,Coral,36.96
2014,LTER 6,Outer 10,Algal Turf,52.24
2014,LTER 6,Outer 10,Coral,18.32
2014,LTER 6,Outer 17,Algal Turf,57.68
2014,LTER 6,Outer 17,Coral,9.04
2015,LTER 1,Backreef,Algal Turf,22.32
2015,LTER 1,Backreef,Coral,4.48
2015,LTER 1,Fringing,Algal Turf,39.04
2015,LTER 1,Fringing,Coral,2.72
2015,LTER 1,Outer 10,Algal Turf,41.2
2015,LTER 1,Outer 10,Coral,44.48
2015,LTER 1,Outer 17,Algal Turf,52.4
2015,LTER 1,Outer 17,Coral,19.84
2015,LTER 2,Backreef,Algal Turf,40.32
2015,LTER 2,Backreef,Coral,2.32
2015,LTER 2,Fringing,Algal Turf,23.84
2015,LTER 2,Fringing,Coral,2.48
2015,LTER 2,Outer 10,Algal Turf,43.44
2015,LTER 2,Outer 10,Coral,29.68
2015,LTER 2,Outer 17,Algal Turf,61.04
2015,LTER 2,Outer 17,Coral,16.16
2015,LTER 3,Backreef,Algal Turf,31.52
2015,LTER 3,Backreef,Coral,12.56
2015,LTER 3,Fringing,Algal Turf,44
2015,LTER 3,Fringing,Coral,16.56
2015,LTER 3,Outer 10,Algal Turf,37.44
2015,LTER 3,Outer 10,Coral,9.6
2015,LTER 3,Outer 17,Algal Turf,41.68
2015,LTER 3,Outer 17,Coral,5.84
2015,LTER 4,Backreef,Algal Turf,39.28
2015,LTER 4,Backreef,Coral,25.6
2015,LTER 4,Fringing,Algal Turf,31.68
2015,LTER 4,Fringing,Coral,14.16
2015,LTER 4,Outer 10,Algal Turf,46.4
2015,LTER 4,Outer 10,Coral,18.8
2015,LTER 4,Outer 17,Algal Turf,43.68
2015,LTER 4,Outer 17,Coral,14.96
2015,LTER 5,Backreef,Algal Turf,27.52
2015,LTER 5,Backreef,Coral,20.72
2015,LTER 5,Fringing,Algal Turf,17.76
2015,LTER 5,Fringing,Coral,64.08
2015,LTER 5,Outer 10,Algal Turf,46
2015,LTER 5,Outer 10,Coral,18.4
2015,LTER 5,Outer 17,Algal Turf,37.84
2015,LTER 5,Outer 17,Coral,16.96
2015,LTER 6,Backreef,Algal Turf,42.08
2015,LTER 6,Backreef,Coral,23.36
2015,LTER 6,Fringing,Algal Turf,39.52
2015,LTER 6,Fringing,Coral,32.88
2015,LTER 6,Outer 10,Algal Turf,44
2015,LTER 6,Outer 10,Coral,25.04
2015,LTER 6,Outer 17,Algal Turf,51.84
2015,LTER 6,Outer 17,Coral,14.8
2016,LTER 1,Backreef,Algal Turf,18.96
2016,LTER 1,Backreef,Coral,4.64
2016,LTER 1,Fringing,Algal Turf,37.12
2016,LTER 1,Fringing,Coral,3.2
2016,LTER 1,Outer 10,Algal Turf,30.56
2016,LTER 1,Outer 10,Coral,56.32
2016,LTER 1,Outer 17,Algal Turf,44
2016,LTER 1,Outer 17,Coral,22.88
2016,LTER 2,Backreef,Algal Turf,30.96
2016,LTER 2,Backreef,Coral,1.2
2016,LTER 2,Fringing,Algal Turf,70.24
2016,LTER 2,Fringing,Coral,2.88
2016,LTER 2,Outer 10,Algal Turf,37.04
2016,LTER 2,Outer 10,Coral,36.88
2016,LTER 2,Outer 17,Algal Turf,57.6
2016,LTER 2,Outer 17,Coral,18.08
2016,LTER 3,Backreef,Algal Turf,29.2
2016,LTER 3,Backreef,Coral,11.84
2016,LTER 3,Fringing,Algal Turf,32.32
2016,LTER 3,Fringing,Coral,23.6
2016,LTER 3,Outer 10,Algal Turf,37.76
2016,LTER 3,Outer 10,Coral,12.96
2016,LTER 3,Outer 17,Algal Turf,34.8
2016,LTER 3,Outer 17,Coral,8.08
2016,LTER 4,Backreef,Algal Turf,39.2
2016,LTER 4,Backreef,Coral,23.76
2016,LTER 4,Fringing,Algal Turf,31.92
2016,LTER 4,Fringing,Coral,18.64
2016,LTER 4,Outer 10,Algal Turf,42.4
2016,LTER 4,Outer 10,Coral,25.12
2016,LTER 4,Outer 17,Algal Turf,36.96
2016,LTER 4,Outer 17,Coral,17.68
2016,LTER 5,Backreef,Algal Turf,24.4
2016,LTER 5,Backreef,Coral,21.84
2016,LTER 5,Fringing,Algal Turf,15.12
2016,LTER 5,Fringing,Coral,71.04
2016,LTER 5,Outer 10,Algal Turf,41.44
2016,LTER 5,Outer 10,Coral,22.4
2016,LTER 5,Outer 17,Algal Turf,35.04
2016,LTER 5,Outer 17,Coral,21.76
2016,LTER 6,Backreef,Algal Turf,22.64
2016,LTER 6,Backreef,Coral,21.12
2016,LTER 6,Fringing,Algal Turf,40.72
2016,LTER 6,Fringing,Coral,4.48
2016,LTER 6,Outer 10,Algal Turf,38
2016,LTER 6,Outer 10,Coral,34.24
2016,LTER 6,Outer 17,Algal Turf,40.32
2016,LTER 6,Outer 17,Coral,18.96
2017,LTER 1,Backreef,Algal Turf,23.44
2017,LTER 1,Backreef,Coral,5.04
2017,LTER 1,Fringing,Algal Turf,13.36
2017,LTER 1,Fringing,Coral,2.56
2017,LTER 1,Outer 10,Algal Turf,17.6
2017,LTER 1,Outer 10,Coral,72.48
2017,LTER 1,Outer 17,Algal Turf,51.44
2017,LTER 1,Outer 17,Coral,24.72
2017,LTER 2,Backreef,Algal Turf,0.72
2017,LTER 2,Backreef,Coral,0.48
2017,LTER 2,Fringing,Algal Turf,15.92
2017,LTER 2,Fringing,Coral,4.56
2017,LTER 2,Outer 10,Algal Turf,38.16
2017,LTER 2,Outer 10,Coral,40.32
2017,LTER 2,Outer 17,Algal Turf,62.48
2017,LTER 2,Outer 17,Coral,20.64
2017,LTER 3,Backreef,Algal Turf,47.44
2017,LTER 3,Backreef,Coral,10.8
2017,LTER 3,Fringing,Algal Turf,41.68
2017,LTER 3,Fringing,Coral,11.76
2017,LTER 3,Outer 10,Algal Turf,34.4
2017,LTER 3,Outer 10,Coral,17.04
2017,LTER 3,Outer 17,Algal Turf,43.92
2017,LTER 3,Outer 17,Coral,9.84
2017,LTER 4,Backreef,Algal Turf,34.48
2017,LTER 4,Backreef,Coral,24.08
2017,LTER 4,Fringing,Algal Turf,8.96
2017,LTER 4,Fringing,Coral,19.04
2017,LTER 4,Outer 10,Algal Turf,40.88
2017,LTER 4,Outer 10,Coral,29.2
2017,LTER 4,Outer 17,Algal Turf,37.6
2017,LTER 4,Outer 17,Coral,22.96
2017,LTER 5,Backreef,Algal Turf,16.24
2017,LTER 5,Backreef,Coral,24.16
2017,LTER 5,Fringing,Algal Turf,0
2017,LTER 5,Fringing,Coral,67.92
2017,LTER 5,Outer 10,Algal Turf,38.32
2017,LTER 5,Outer 10,Coral,30
2017,LTER 5,Outer 17,Algal Turf,35.2
2017,LTER 5,Outer 17,Coral,28.4
2017,LTER 6,Backreef,Algal Turf,7.52
2017,LTER 6,Backreef,Coral,28.4
2017,LTER 6,Fringing,Algal Turf,41.92
2017,LTER 6,Fringing,Coral,2.8
2017,LTER 6,Outer 10,Algal Turf,35.12
2017,LTER 6,Outer 10,Coral,40.08
2017,LTER 6,Outer 17,Algal Turf,41.68
2017,LTER 6,Outer 17,Coral,22.24
2018,LTER 1,Backreef,Algal Turf,42.32
2018,LTER 1,Backreef,Coral,5.68
2018,LTER 1,Fringing,Algal Turf,14
