Year,Site,Habitat,Taxonomy_Substrate_Functional_Group,mean_percent_cover
2005,LTER 4,Outer 10,Peyssonnelia inamoena,1.2
2005,LTER 4,Outer 10,Sand,0
2005,LTER 4,Outer 17,Algal Turf,37.6
2005,LTER 4,Outer 17,Coral,41.6
2005,LTER 4,Outer 17,Crustose Corallines,11.6
2005,LTER 4,Outer 17,Halimeda sp.,0.72
2005,LTER 4,Outer 17,Millepora platyphylla,0.08
2005,LTER 4,Outer 17,Peyssonnelia inamoena,7.44
2005,LTER 4,Outer 17,Sand,0.8
2005,LTER 4,Outer 17,Soft Coral,0.16
2005,LTER 5,Fringing,Algal Turf,18.72
2005,LTER 5,Fringing,Coral,59.36
2005,LTER 5,Fringing,Crustose Corallines,0
2005,LTER 5,Fringing,Damselfish Turf,4.96
2005,LTER 5,Fringing,Halimeda sp.,0.16
2005,LTER 5,Fringing,Sand,16.48
2005,LTER 5,Fringing,Valonia aegagropila,0.32
2005,LTER 5,Outer 10,Algal Turf,54.16
2005,LTER 5,Outer 10,Coral,28.56
2005,LTER 5,Outer 10,Crustose Corallines,9.36
2005,LTER 5,Outer 10,Halimeda sp.,3.6
2005,LTER 5,Outer 10,Peyssonnelia inamoena,4.24
2005,LTER 5,Outer 10,Sand,0.08
2005,LTER 5,Outer 17,Algal Turf,42.32
2005,LTER 5,Outer 17,Coral,32.4
2005,LTER 5,Outer 17,Crustose Corallines,14.96
2005,LTER 5,Outer 17,Dictyota sp.,0.08
2005,LTER 5,Outer 17,Halimeda sp.,0.56
2005,LTER 5,Outer 17,Lobophora variegata,0.8
2005,LTER 5,Outer 17,Millepora platyphylla,0.96
2005,LTER 5,Outer 17,Peyssonnelia inamoena,5.76
2005,LTER 5,Outer 17,Sand,1.92
2005,LTER 5,Outer 17,Soft Coral,0.24
2005,LTER 6,Fringing,Algal Turf,13.44
2005,LTER 6,Fringing,Amansia rhodantha,9.04
2005,LTER 6,Fringing,Coral,42.16
2005,LTER 6,Fringing,Crustose Corallines,0
2005,LTER 6,Fringing,Damselfish Turf,13.6
2005,LTER 6,Fringing,Dichotomaria marginata,0.8
2005,LTER 6,Fringing,Dichotomaria obtusata,1.6
2005,LTER 6,Fringing,Dictyota sp.,7.6
2005,LTER 6,Fringing,Halimeda sp.,5.52
2005,LTER 6,Fringing,Sand,0.24
2005,LTER 6,Fringing,Turbinaria ornata,6
2006,LTER 1,Backreef,Algal Turf,46.88
2006,LTER 1,Backreef,Amansia rhodantha,0.08
2006,LTER 1,Backreef,Coral,31.04
2006,LTER 1,Backreef,Crustose Corallines,1.84
2006,LTER 1,Backreef,Sand,14.72
2006,LTER 1,Backreef,Turbinaria ornata,5.44
2006,LTER 2,Backreef,Algal Turf,31.52
2006,LTER 2,Backreef,Coral,28.88
2006,LTER 2,Backreef,Crustose Corallines,1.04
2006,LTER 2,Backreef,Dictyota sp.,6
2006,LTER 2,Backreef,Halimeda sp.,0.08
2006,LTER 2,Backreef,Sand,25.76
2006,LTER 2,Backreef,Turbinaria ornata,6.72
2006,LTER 3,Backreef,Algal Turf,27.76
2006,LTER 3,Backreef,Amansia rhodantha,1.12
2006,LTER 3,Backreef,Coral,36.72
2006,LTER 3,Backreef,Crustose Corallines,0.16
2006,LTER 3,Backreef,Damselfish Turf,4.56
2006,LTER 3,Backreef,Sand,29.68
2006,LTER 4,Backreef,Algal Turf,57.76
2006,LTER 4,Backreef,Coral,32.64
2006,LTER 4,Backreef,Crustose Corallines,0.16
2006,LTER 4,Backreef,Damselfish Turf,0
2006,LTER 4,Backreef,Halimeda sp.,0
2006,LTER 4,Backreef,Sand,9.44
2006,LTER 4,Backreef,Shell Debris,0
2006,LTER 5,Backreef,Algal Turf,42.72
2006,LTER 5,Backreef,Coral,27.92
2006,LTER 5,Backreef,Crustose Corallines,0.64
2006,LTER 5,Backreef,Halimeda sp.,0.24
2006,LTER 5,Backreef,Sand,28.24
2006,LTER 5,Backreef,Turbinaria ornata,0.24
2006,LTER 6,Backreef,Algal Turf,35.04
2006,LTER 6,Backreef,Coral,19.6
2006,LTER 6,Backreef,Crustose Corallines,0.4
2006,LTER 6,Backreef,Damselfish Turf,9.04
2006,LTER 6,Backreef,Dictyota sp.,0.08
2006,LTER 6,Backreef,Halimeda sp.,0.4
2006,LTER 6,Backreef,Lobophora variegata,0
2006,LTER 6,Backreef,Sand,35.44
2006,LTER 6,Outer 10,Algal Turf,40.56
2006,LTER 6,Outer 10,Coral,41.44
2006,LTER 6,Outer 10,Crustose Corallines,14.16
2006,LTER 6,Outer 10,Dictyota sp.,0.16
2006,LTER 6,Outer 10,Halimeda sp.,0.48
2006,LTER 6,Outer 10,Lobophora variegata,0.48
2006,LTER 6,Outer 10,Peyssonnelia inamoena,1.84
2006,LTER 6,Outer 10,Sand,0.88
2006,LTER 6,Outer 17,Algal Turf,32
2006,LTER 6,Outer 17,Coral,30.72
2006,LTER 6,Outer 17,Crustose Corallines,23.76
2006,LTER 6,Outer 17,Halimeda sp.,0.72
2006,LTER 6,Outer 17,Lobophora variegata,1.2
2006,LTER 6,Outer 17,Millepora platyphylla,0
2006,LTER 6,Outer 17,Peyssonnelia inamoena,6.88
2006,LTER 6,Outer 17,Sand,4.72
2007,LTER 1,Fringing,Algal Turf,45.04
2007,LTER 1,Fringing,Amansia rhodantha,0
2007,LTER 1,Fringing,Ascidian,0
2007,LTER 1,Fringing,Coral,39.76
2007,LTER 1,Fringing,Crustose Corallines,1.2
2007,LTER 1,Fringing,Dictyota sp.,0
2007,LTER 1,Fringing,Halimeda sp.,2.72
2007,LTER 1,Fringing,Sand,11.28
2007,LTER 1,Backreef,Algal Turf,51.04
2007,LTER 1,Backreef,Amansia rhodantha,0
2007,LTER 1,Backreef,Coral,30.08
2007,LTER 1,Backreef,Crustose Corallines,2.96
2007,LTER 1,Backreef,Halimeda sp.,0.08
2007,LTER 1,Backreef,Sand,12.16
2007,LTER 1,Backreef,Turbinaria ornata,3.68
2007,LTER 1,Outer 10,Algal Turf,44
2007,LTER 1,Outer 10,Asparagopsis taxiformis,12.24
2007,LTER 1,Outer 10,Coral,36.08
2007,LTER 1,Outer 10,Crustose Corallines,5.6
2007,LTER 1,Outer 10,Halimeda sp.,0.16
2007,LTER 1,Outer 10,Lobophora variegata,0
2007,LTER 1,Outer 10,Millepora platyphylla,1.52
2007,LTER 1,Outer 10,Peyssonnelia inamoena,0.24
2007,LTER 1,Outer 10,Sand,0
2007,LTER 1,Outer 10,Sponge,0
2007,LTER 1,Outer 10,Turbinaria ornata,0.16
2007,LTER 1,Outer 17,Algal Turf,39.84
2007,LTER 1,Outer 17,Asparagopsis taxiformis,6.88
2007,LTER 1,Outer 17,Coral,45.6
2007,LTER 1,Outer 17,Crustose Corallines,4.8
2007,LTER 1,Outer 17,Dictyota sp.,0
2007,LTER 1,Outer 17,Halimeda sp.,0
2007,LTER 1,Outer 17,Lobophora variegata,0.4
2007,LTER 1,Outer 17,Sand,2.48
2007,LTER 2,Fringing,Algal Turf,75.52
2007,LTER 2,Fringing,Coral,15.6
2007,LTER 2,Fringing,Crustose Corallines,3.12
2007,LTER 2,Fringing,Damselfish Turf,1.6
2007,LTER 2,Fringing,Millepora platyphylla,1.44
2007,LTER 2,Fringing,Sand,0.48
2007,LTER 2,Fringing,Turbinaria ornata,2.24
2007,LTER 2,Backreef,Algal Turf,42.96
2007,LTER 2,Backreef,Coral,30.48
2007,LTER 2,Backreef,Crustose Corallines,1.28
2007,LTER 2,Backreef,Dictyota sp.,0.72
2007,LTER 2,Backreef,Halimeda sp.,0.4
2007,LTER 2,Backreef,Sand,20.16
2007,LTER 2,Backreef,Turbinaria ornata,4
2007,LTER 2,Outer 10,Algal Turf,58.96
2007,LTER 2,Outer 10,Asparagopsis taxiformis,4.72
2007,LTER 2,Outer 10,Coral,18.96
2007,LTER 2,Outer 10,Crustose Corallines,8.88
2007,LTER 2,Outer 10,Halimeda sp.,1.92
2007,LTER 2,Outer 10,Lobophora variegata,1.12
2007,LTER 2,Outer 10,Millepora platyphylla,2.48
2007,LTER 2,Outer 10,Peyssonnelia inamoena,1.12
2007,LTER 2,Outer 10,Sand,1.84
2007,LTER 2,Outer 17,Algal Turf,53.76
2007,LTER 2,Outer 17,Asparagopsis taxiformis,5.44
2007,LTER 2,Outer 17,Coral,18.08
2007,LTER 2,Outer 17,Crustose Corallines,3.76
2007,LTER 2,Outer 17,Dictyota sp.,0
2007,LTER 2,Outer 17,Halimeda sp.,0.56
2007,LTER 2,Outer 17,Lobophora variegata,0
2007,LTER 2,Outer 17,Millepora platyphylla,0.48
2007,LTER 2,Outer 17,Peyssonnelia inamoena,0.88
2007,LTER 2,Outer 17,Ralfsia sp.,14.4
2007,LTER 2,Outer 17,Sand,2.64
2007,LTER 3,Fringing,Algal Turf,49.12
2007,LTER 3,Fringing,Coral,19.28
2007,LTER 3,Fringing,Crustose Corallines,0
2007,LTER 3,Fringing,Damselfish Turf,4.56
2007,LTER 3,Fringing,Halimeda sp.,1.28
2007,LTER 3,Fringing,Sand,25.76
2007,LTER 3,Fringing,Turbinaria ornata,0
2007,LTER 3,Backreef,Algal Turf,25.44
2007,LTER 3,Backreef,Amansia rhodantha,1.12
2007,LTER 3,Backreef,Coral,40.08
2007,LTER 3,Backreef,Crustose Corallines,0.08
2007,LTER 3,Backreef,Damselfish Turf,0
2007,LTER 3,Backreef,Halimeda sp.,1.12
2007,LTER 3,Backreef,Sand,32.16
2007,LTER 3,Outer 10,Algal Turf,44.4
2007,LTER 3,Outer 10,Asparagopsis taxiformis,0
2007,LTER 3,Outer 10,Coral,33.52
2007,LTER 3,Outer 10,Crustose Corallines,11.68
2007,LTER 3,Outer 10,Halimeda sp.,3.44
2007,LTER 3,Outer 10,Lobophora variegata,1.6
2007,LTER 3,Outer 10,Millepora platyphylla,0.08
2007,LTER 3,Outer 10,Peyssonnelia inamoena,0.16
2007,LTER 3,Outer 10,Sand,0.24
2007,LTER 3,Outer 10,Turbinaria ornata,4.88
2007,LTER 3,Outer 17,Algal Turf,43.52
2007,LTER 3,Outer 17,Amphiroa fragilissima,0.24
2007,LTER 3,Outer 17,Coral,26.96
2007,LTER 3,Outer 17,Crustose Corallines,13.2
2007,LTER 3,Outer 17,Dictyota friabilis,0.56
2007,LTER 3,Outer 17,Halimeda sp.,7.36
2007,LTER 3,Outer 17,Lobophora variegata,5.6
2007,LTER 3,Outer 17,Peyssonnelia inamoena,0.8
2007,LTER 3,Outer 17,Sand,1.76
2007,LTER 4,Fringing,Algal Turf,53.04
2007,LTER 4,Fringing,Coral,23.6
2007,LTER 4,Fringing,Corallimorpharia,0.24
2007,LTER 4,Fringing,Crustose Corallines,0
2007,LTER 4,Fringing,Damselfish Turf,0
2007,LTER 4,Fringing,Halimeda sp.,0.72
2007,LTER 4,Fringing,Sand,22.4
2007,LTER 4,Fringing,Shell Debris,0
2007,LTER 4,Backreef,Algal Turf,51.6
2007,LTER 4,Backreef,Amansia rhodantha,0.56
2007,LTER 4,Backreef,Coral,33.84
2007,LTER 4,Backreef,Crustose Corallines,0
2007,LTER 4,Backreef,Damselfish Turf,0
2007,LTER 4,Backreef,Galaxaura sp.,0.08
2007,LTER 4,Backreef,Halimeda sp.,0.48
2007,LTER 4,Backreef,Sand,13.44
2007,LTER 4,Backreef,Shell Debris,0
2007,LTER 4,Outer 10,Algal Turf,50.24
2007,LTER 4,Outer 10,Caulerpa serrulata,0.24
2007,LTER 4,Outer 10,Coral,31.76
2007,LTER 4,Outer 10,Crustose Corallines,11.2
2007,LTER 4,Outer 10,Halimeda sp.,0.72
2007,LTER 4,Outer 10,Millepora platyphylla,5.04
2007,LTER 4,Outer 10,Peyssonnelia inamoena,0.4
2007,LTER 4,Outer 10,Sand,0.32
2007,LTER 4,Outer 10,Soft Coral,0.08
2007,LTER 4,Outer 17,Algal Turf,38.08
2007,LTER 4,Outer 17,Coral,38.72
2007,LTER 4,Outer 17,Crustose Corallines,9.6
2007,LTER 4,Outer 17,Halimeda sp.,0.32
2007,LTER 4,Outer 17,Lobophora variegata,10.56
2007,LTER 4,Outer 17,Millepora platyphylla,0.16
2007,LTER 4,Outer 17,Peyssonnelia inamoena,0.16
2007,LTER 4,Outer 17,Sand,2.16
2007,LTER 4,Outer 17,Soft Coral,0.24
2007,LTER 5,Fringing,Algal Turf,14.96
2007,LTER 5,Fringing,Coral,63.68
2007,LTER 5,Fringing,Corallimorpharia,0.64
2007,LTER 5,Fringing,Crustose Corallines,0
2007,LTER 5,Fringing,Cyanophyta,0.24
2007,LTER 5,Fringing,Galaxaura sp.,0.08
2007,LTER 5,Fringing,Halimeda sp.,1.36
2007,LTER 5,Fringing,Sand,18.56
2007,LTER 5,Fringing,Sponge,0.48
2007,LTER 5,Backreef,Algal Turf,40.4
2007,LTER 5,Backreef,Coral,27.68
2007,LTER 5,Backreef,Crustose Corallines,0.56
2007,LTER 5,Backreef,Halimeda sp.,0.48
2007,LTER 5,Backreef,Sand,30.8
2007,LTER 5,Backreef,Turbinaria ornata,0.08
2007,LTER 5,Outer 10,Algal Turf,55.28
2007,LTER 5,Outer 10,Coral,33.2
2007,LTER 5,Outer 10,Crustose Corallines,6.08
2007,LTER 5,Outer 10,Halimeda sp.,3.36
2007,LTER 5,Outer 10,Peyssonnelia inamoena,1.6
2007,LTER 5,Outer 10,Sand,0
2007,LTER 5,Outer 10,Soft Coral,0.48
2007,LTER 5,Outer 17,Algal Turf,42.24
2007,LTER 5,Outer 17,Coral,33.92
2007,LTER 5,Outer 17,Crustose Corallines,18.24
2007,LTER 5,Outer 17,Dictyota sp.,0
2007,LTER 5,Outer 17,Halimeda sp.,0
2007,LTER 5,Outer 17,Lobophora variegata,0
2007,LTER 5,Outer 17,Millepora platyphylla,1.52
2007,LTER 5,Outer 17,Peyssonnelia inamoena,1.68
2007,LTER 5,Outer 17,Ralfsia sp.,0.32
2007,LTER 5,Outer 17,Sand,1.6
2007,LTER 5,Outer 17,Soft Coral,0.48
2007,LTER 6,Fringing,Algal Turf,39.84
2007,LTER 6,Fringing,Amansia rhodantha,2.8
2007,LTER 6,Fringing,Amphiroa fragilissima,0.16
2007,LTER 6,Fringing,Coral,29.36
2007,LTER 6,Fringing,Crustose Corallines,0.16
2007,LTER 6,Fringing,Galaxaura sp.,1.92
2007,LTER 6,Fringing,Halimeda sp.,16.88
2007,LTER 6,Fringing,Sand,8.48
2007,LTER 6,Fringing,Sponge,0.32
2007,LTER 6,Fringing,Turbinaria ornata,0.08
2007,LTER 6,Backreef,Algal Turf,45.28
2007,LTER 6,Backreef,Coral,22
2007,LTER 6,Backreef,Crustose Corallines,0
2007,LTER 6,Backreef,Damselfish Turf,0
2007,LTER 6,Backreef,Dictyota sp.,0
2007,LTER 6,Backreef,Halimeda sp.,0.64
2007,LTER 6,Backreef,Liagora ceranoides,0.08
2007,LTER 6,Backreef,Lobophora variegata,0
2007,LTER 6,Backreef,Sand,32
2007,LTER 6,Outer 10,Algal Turf,43.92
2007,LTER 6,Outer 10,Coral,36.72
2007,LTER 6,Outer 10,Crustose Corallines,13.28
2007,LTER 6,Outer 10,Dictyota sp.,0
2007,LTER 6,Outer 10,Halimeda sp.,1.76
2007,LTER 6,Outer 10,Lobophora variegata,0
2007,LTER 6,Outer 10,Millepora platyphylla,1.2
2007,LTER 6,Outer 10,Peyssonnelia inamoena,1.92
2007,LTER 6,Outer 10,Ralfsia sp.,0.48
2007,LTER 6,Outer 10,Sand,0.72
2007,LTER 6,Outer 17,Algal Turf,36.08
2007,LTER 6,Outer 17,Coral,31.36
2007,LTER 6,Outer 17,Crustose Corallines,17.28
2007,LTER 6,Outer 17,Halimeda sp.,1.12
2007,LTER 6,Outer 17,Lobophora variegata,0
2007,LTER 6,Outer 17,Millepora platyphylla,0
2007,LTER 6,Outer 17,Peyssonnelia inamoena,7.84
2007,LTER 6,Outer 17,Ralfsia sp.,1.12
2007,LTER 6,Outer 17,Sand,5.2
2008,LTER 1,Fringing,Algal Turf,35.12
2008,LTER 1,Fringing,Caulerpa serrulata,0.16
2008,LTER 1,Fringing,Coral,48.24
2008,LTER 1,Fringing,Coral Rubble,2.08
2008,LTER 1,Fringing,Corallimorpharia,0.16
2008,LTER 1,Fringing,Crustose Corallines,0.56
2008,LTER 1,Fringing,Cyanophyta,0.08
2008,LTER 1,Fringing,Damselfish Turf,0.16
2008,LTER 1,Fringing,Dictyota bartayresiana,0.24
2008,LTER 1,Fringing,Galaxaura rugosa,0.08
2008,LTER 1,Fringing,Halimeda minima,3.84
2008,LTER 1,Fringing,Halimeda opuntia,0.24
2008,LTER 1,Fringing,Sand,9.04
2008,LTER 1,Backreef,Algal Turf,58.16
2008,LTER 1,Backreef,Amansia rhodantha,0.16
2008,LTER 1,Backreef,Coral,25.44
2008,LTER 1,Backreef,Crustose Corallines,4.72
2008,LTER 1,Backreef,Cyanophyta,0.56
2008,LTER 1,Backreef,Halimeda minima,1.76
2008,LTER 1,Backreef,Sand,8.32
2008,LTER 1,Backreef,Turbinaria ornata,0.88
2008,LTER 1,Outer 10,Algal Turf,45.28
2008,LTER 1,Outer 10,Asparagopsis taxiformis,9.44
2008,LTER 1,Outer 10,Caulerpa serrulata,0.24
2008,LTER 1,Outer 10,Coral,27.2
2008,LTER 1,Outer 10,Crustose Corallines,11.04
2008,LTER 1,Outer 10,Dictyota friabilis,0.16
2008,LTER 1,Outer 10,Halimeda discoidea,0.4
2008,LTER 1,Outer 10,Halimeda minima,2.08
2008,LTER 1,Outer 10,Lobophora variegata,0.24
2008,LTER 1,Outer 10,Millepora platyphylla,2.24
2008,LTER 1,Outer 10,Peyssonnelia inamoena,1.68
2008,LTER 1,Outer 10,Sand,0
2008,LTER 1,Outer 17,Algal Turf,50.64
2008,LTER 1,Outer 17,Asparagopsis taxiformis,7.6
2008,LTER 1,Outer 17,Coral,24.4
2008,LTER 1,Outer 17,Crustose Corallines,6.16
2008,LTER 1,Outer 17,Halimeda minima,1.28
2008,LTER 1,Outer 17,Lobophora variegata,3.84
2008,LTER 1,Outer 17,Millepora platyphylla,0.24
2008,LTER 1,Outer 17,Peyssonnelia inamoena,3.6
2008,LTER 1,Outer 17,Sand,2.24
2008,LTER 2,Fringing,Algal Turf,70.64
2008,LTER 2,Fringing,Amansia rhodantha,0.08
2008,LTER 2,Fringing,Ascidian,0.4
2008,LTER 2,Fringing,Caulerpa racemosa,0.08
2008,LTER 2,Fringing,Coral,12.48
2008,LTER 2,Fringing,Crustose Corallines,3.92
2008,LTER 2,Fringing,Damselfish Turf,8.24
2008,LTER 2,Fringing,Galaxaura filamentosa,1.12
2008,LTER 2,Fringing,Halimeda minima,0.16
2008,LTER 2,Fringing,Millepora platyphylla,1.76
2008,LTER 2,Fringing,Sand,0.4
2008,LTER 2,Fringing,Turbinaria ornata,0.64
2008,LTER 2,Fringing,Valonia ventricosa,0.08
2008,LTER 2,Backreef,Algal Turf,30.64
2008,LTER 2,Backreef,Amphiroa fragilissima,1.2
2008,LTER 2,Backreef,Ascidian,0.24
2008,LTER 2,Backreef,Caulerpa serrulata,0.32
2008,LTER 2,Backreef,Coral,35.84
2008,LTER 2,Backreef,Coral Rubble,0.32
2008,LTER 2,Backreef,Corallimorpharia,0.32
2008,LTER 2,Backreef,Crustose Corallines,3.44
2008,LTER 2,Backreef,Cyanophyta,0.88
2008,LTER 2,Backreef,Damselfish Turf,2
2008,LTER 2,Backreef,Dictyota friabilis,0.08
2008,LTER 2,Backreef,Galaxaura rugosa,0.24
2008,LTER 2,Backreef,Halimeda minima,1.28
2008,LTER 2,Backreef,Sand,21.84
2008,LTER 2,Backreef,Turbinaria ornata,1.36
2008,LTER 2,Outer 10,Algal Turf,46.96
2008,LTER 2,Outer 10,Asparagopsis taxiformis,13.76
2008,LTER 2,Outer 10,Coral,14.48
2008,LTER 2,Outer 10,Crustose Corallines,12.4
2008,LTER 2,Outer 10,Halimeda discoidea,0.32
2008,LTER 2,Outer 10,Halimeda minima,3.92
2008,LTER 2,Outer 10,Lobophora variegata,1.68
2008,LTER 2,Outer 10,Millepora platyphylla,3.12
2008,LTER 2,Outer 10,Peyssonnelia inamoena,2.8
2008,LTER 2,Outer 10,Sand,0.56
2008,LTER 2,Outer 17,Algal Turf,66.36734693877551
2008,LTER 2,Outer 17,Asparagopsis taxiformis,7.673469387755102
2008,LTER 2,Outer 17,Coral,13.63265306122449
2008,LTER 2,Outer 17,Crustose Corallines,3.4285714285714284
2008,LTER 2,Outer 17,Dictyota friabilis,0.08163265306122448
2008,LTER 2,Outer 17,Halimeda minima,2.938775510204082
2008,LTER 2,Outer 17,Lobophora variegata,1.2244897959183674
2008,LTER 2,Outer 17,Millepora platyphylla,0.16326530612244897
2008,LTER 2,Outer 17,No data,-1
2008,LTER 2,Outer 17,Peyssonnelia inamoena,1.1428571428571428
2008,LTER 2,Outer 17,Sand,3.3469387755102042
2008,LTER 3,Fringing,Algal Turf,44.24
2008,LTER 3,Fringing,Coral,22.88
2008,LTER 3,Fringing,Coral Rubble,6.16
2008,LTER 3,Fringing,Corallimorpharia,0.32
2008,LTER 3,Fringing,Crustose Corallines,1.04
2008,LTER 3,Fringing,Cyanophyta,1.84
2008,LTER 3,Fringing,Damselfish Turf,13.04
2008,LTER 3,Fringing,Galaxaura filamentosa,0.16
2008,LTER 3,Fringing,Halimeda minima,0.96
2008,LTER 3,Fringing,Sand,9.36
2008,LTER 3,Backreef,Algal Turf,34.72
2008,LTER 3,Backreef,Amansia rhodantha,1.36
2008,LTER 3,Backreef,Cladophoropsis membranacea,0.08
2008,LTER 3,Backreef,Coral,36.96
2008,LTER 3,Backreef,Coral Rubble,0.96
2008,LTER 3,Backreef,Crustose Corallines,0.32
2008,LTER 3,Backreef,Cyanophyta,0.8
2008,LTER 3,Backreef,Galaxaura filamentosa,0.08
2008,LTER 3,Backreef,Halimeda discoidea,0.16
2008,LTER 3,Backreef,Halimeda minima,2.08
2008,LTER 3,Backreef,Lobophora variegata,0.08
2008,LTER 3,Backreef,Peyssonnelia inamoena,0.08
2008,LTER 3,Backreef,Sand,22.24
2008,LTER 3,Backreef,Turbinaria ornata,0.08
2008,LTER 3,Outer 10,Algal Turf,41.12
2008,LTER 3,Outer 10,Coral,26.08
2008,LTER 3,Outer 10,Crustose Corallines,12.88
2008,LTER 3,Outer 10,Cyanophyta,0.08
2008,LTER 3,Outer 10,Halimeda discoidea,3.6
2008,LTER 3,Outer 10,Halimeda minima,7.76
2008,LTER 3,Outer 10,Lobophora variegata,0.24
2008,LTER 3,Outer 10,Peyssonnelia inamoena,3.2
2008,LTER 3,Outer 10,Sand,0.88
2008,LTER 3,Outer 10,Turbinaria ornata,4.16
2008,LTER 3,Outer 17,Algal Turf,47.28
2008,LTER 3,Outer 17,Coral,2.48
2008,LTER 3,Outer 17,Crustose Corallines,13.2
2008,LTER 3,Outer 17,Cyanophyta,0.72
2008,LTER 3,Outer 17,Dictyota friabilis,0.56
2008,LTER 3,Outer 17,Halimeda minima,21.68
2008,LTER 3,Outer 17,Lobophora variegata,9.12
2008,LTER 3,Outer 17,Peyssonnelia inamoena,4.56
2008,LTER 3,Outer 17,Sand,0.32
2008,LTER 3,Outer 17,Soft Coral,0.08
2008,LTER 4,Fringing,Algal Turf,41.92
2008,LTER 4,Fringing,Coral,18.56
2008,LTER 4,Fringing,Coral Rubble,12.521739130434783
2008,LTER 4,Fringing,Crustose Corallines,0
2008,LTER 4,Fringing,Cyanophyta,4.32
